no;code;nom;surf;long;lat;alt;nbcom;biogeo;activplus;activmoins
575;6289;Ile de Groix;28336.97;-3.48;47.63;-10.5;1;Atlantique;7;6
576;6290;Belle Ile en mer;17331.21;-3.14;47.33;13;4;Atlantique;21;20
577;6291;Iles Houat-Hoedic;17769.83;-2.96;47.39;-6;4;Atlantique;8;8
579;6292;Estuaire de la Vilaine;4769.26;-2.5;47.5;14.5;7;Atlantique;0;0
580;6293;Forêt de Quénécan, vallée du Poulancre, landes de Liscuis et gorges du Daoulas;924;-3.12;48.22;180;5;Atlantique;0;0
581;6294;Landes de la Poterie;60;-2.46;48.48;57;1;Atlantique;4;3
582;6295;Forêt de Lorge, landes de Lanfains, cime de Kerchouan;507;-2.83;48.34;294;7;Atlantique;0;0
583;6296;Forêt du Cranou, Menez Meur;1281.02;-4.06;48.34;190.5;5;Atlantique;8;7
584;6297;Forêt de Huelgoat;112;-3.73;48.36;157.5;2;Atlantique;4;4
585;6298;Vallée de l'Aulne;3558.97;-3.95;48.19;56;22;Atlantique;15;12
586;6299;Guisseny;612;-4.45;48.63;5;3;Atlantique;0;0
587;6300;Pointe de Corsen, Le Conquet;724;-4.77;48.39;22.5;5;Atlantique;0;0
588;6301;Rade de Brest, estuaire de l'Aulne;9226.71;-4.32;48.3;40;14;Atlantique;9;8
589;6302;Marais de Mousterlin;479;-4.01;47.85;6.5;2;Atlantique;0;0
590;7774;Dunes et côtes de Trévignon;9874;-3.88;47.8;-10;8;Atlantique;16;15
592;6305;Côte de Cancale à Paramé;1751;-1.9;48.69;25;5;Atlantique;3;3
593;6306;Vallée de l'Arz;1232.25;-2.34;47.7;70;5;Atlantique;0;0
594;6307;Rivière Laïta, Pointe du Talud, étangs du Loc'h et de Lannenec;925;-3.49;47.74;35;4;Atlantique;0;0
595;6308;Estuaire de la Rance;2784.91;-1.96;48.55;30;16;Atlantique;3;3
596;6309;Etang du Moulin Neuf;46;-3.56;48.56;180;1;Atlantique;6;5
597;7755;Baie de Saint-Brieuc - Est;13487;-2.64;48.53;-3.5;18;Atlantique;14;12
599;6311;Tourbière de Lann Gazel;136;-4.26;48.51;85;2;Atlantique;0;0
600;6312;Chiroptères du Morbihan;2;-2.65;47.7;70;10;Atlantique;3;3
601;6314;Chaussée de Sein;41498.94;-5.06;48.03;-47.5;1;Atlantique;1;1
602;6317;Vallée de l'Issoire;507;0.74;46.04;165;4;Continentale;7;6
603;6318;Vallées calcaires péri-angoumoisines;1654;0.14;45.59;101;8;Atlantique;4;9
604;6319;Marais de Rochefort;13604;-0.97;46.01;2.5;21;Atlantique;2;9
605;6320;Marais et falaises des côteaux de Gironde;12508;-0.76;45.31;31;21;Atlantique;11;11
606;6322;Vallée du Magnerolles;1826;-0.13;46.41;117;4;Atlantique;19;17
607;6323;Chaumes d'Avon;1511;-0.02;46.37;112.5;4;Atlantique;3;4
608;6324;Forêt et pelouses de Lussac-les-Châteaux;933;0.71;46.42;110;3;Atlantique;10;9
609;6326;Vallée de la Gartempe - Les Portes d'Enfer;491;0.91;46.33;140;2;Continentale;7;13
610;6327;Landes de Cadeuil;575;-0.93;45.76;20.5;3;Atlantique;7;11
611;6328;Carrières de Saint-Savinien;146;-0.68;45.88;31;1;Atlantique;6;7
612;6329;Moyenne vallée de la Charente et Seugnes et Coran;7106;-0.63;45.72;23.5;34;Atlantique;6;10
613;6331;Carrière de l'Enfer;41.11;-0.97;45.75;10;2;Atlantique;7;7
614;6332;Carrière de Fief de Foye;16.8;-0.8;45.84;24;1;Atlantique;8;8
615;6333;Carrières de Bellevue;1.09;-0.42;45.43;45;1;Atlantique;3;3
616;6334;Vallée de la Charente entre Angoulème et Cognac et ses principaux affluents (SOLOIRE, BOEME, ECHELLE);5373;-0.26;45.65;80;52;Atlantique;7;11
617;6342;Montagnes du Pic des Escaliers;8600;-0.98;43.05;925;8;Alpine;5;4
618;6346;Tourbière du Rey;19.21;2;44.45;320;1;Atlantique;5;4
619;6348;Vieux chênes de Cantegrel;12.59;1.56;44.75;265;1;Atlantique;1;1
