no;code;nom;surf;long;lat;alt;nbcom;biogeo;activplus;activmoins
1380;7575;Anciennes carrières de la vallée de la Mue;198;-0.44;49.27;29.5;5;Atlantique;4;3
1381;7576;Anciennes carrières de Beaufour-Druval;8.42;0.01;49.21;116;1;Atlantique;3;1
1382;7577;Ancienne carrière de la Cressonnière;0.36;0.35;49.02;132.5;1;Atlantique;2;2
1383;7578;Anciennes carrières d'Orbec;4.5;0.4;49.01;143.5;1;Atlantique;1;1
1384;7579;Ancienne champignonnière des Petites Hayes;12.77;0.39;48.54;194;1;Atlantique;3;3
1392;7589;Vallées de la Loire et de l'Allier entre  Cher et Nièvre;16126;3.01;47.17;150;50;Atlantique;12;9
1393;7591;Landes et tourbière du bois de la Biche;339;3.48;47.85;145;3;Continentale;8;6
1394;7592;Marais alcalin et prairies humides de Baon;21;4.11;47.85;163;2;Continentale;5;3
1395;7593;Eboulis calcaires de la vallée de l'Armançon;219;4.05;47.87;220;4;Continentale;4;3
1396;7594;Bocage, forêts et milieux humides du Sud Morvan;50248;3.88;46.9;317;26;Continentale;9;7
1397;7595;Pelouses et milieux cavernicoles de la vallée de la Chiers et de l'Othain, fort du Chenois, buxaie de Montmédy;315;5.36;49.51;250;10;Continentale;8;8
1398;7598;Etangs du canal d'Ille et Rance;2747;-1.76;48.31;71.5;10;Atlantique;0;0
1399;7599;Ilôts Notre-Dame et Chevret;3.3;-2;48.59;8;1;Atlantique;3;1
1400;7600;Presqu'ile d'Arvert;11544.92;-1.2;45.73;30;8;Atlantique;14;11
1401;7602;Vallée de l'Isle de Périgueux à sa confluence avec la Dordogne;7997;0.19;45.02;38;37;Atlantique;9;6
1402;7603;Vallée de la Dronne de Brantôme à sa confluence avec l'Isle;5825;0.09;45.22;52.5;38;Atlantique;9;7
1403;7605;Palus de Saint-Loubes et d'Izon;1237;-0.4;44.92;3;4;Atlantique;13;10
1404;7606;Marais de Braud-et-Saint-Louis et de Saint-Ciers-sur-Gironde;4934;-0.65;45.23;25.5;12;Atlantique;14;8
1405;7607;Vallée et palus du Moron;945;-0.48;45.04;30.5;14;Atlantique;15;11
1406;7608;Vallées de la Saye et du Meudon;1379;-2.67;45.09;38.5;16;Atlantique;14;9
1407;7609;Forêt de la Pointe de Grave;302;-1.08;45.56;20.5;1;Atlantique;2;1
1408;7610;Lagunes de Saint-Magne et Louchats;213;-0.61;44.51;65;3;Atlantique;5;8
1409;7611;Massif du Moulle de Jaout;16350;-0.33;43.02;1500;8;Alpine;2;1
1410;7612;Massif du Ger et du Lurien;13484;-0.37;42.89;2131;2;Alpine;4;2
1411;7613;Massif de Sesques et de l'Ossau;25794;-0.5;42.89;1743.5;7;Alpine;9;9
1412;7614;Massif du Montagnon;8694;-0.51;43.02;1129;7;Alpine;3;3
1413;7615;Massif de l'Anie et d'Espelunguère;14253;-0.63;42.87;1492.5;6;Alpine;10;9
1414;7616;Massif du Layens;5597;-0.64;43.05;1000;5;Alpine;8;8
1415;7617;Montagnes du Barétous;14421;-0.81;43.04;900;9;Alpine;5;4
1416;7618;Montagnes de la Haute Soule;14360;-0.98;42.99;1309;4;Alpine;5;4
1417;7619;Massif des Arbailles;12784;-1.02;43.12;750;11;Alpine;5;4
1418;7620;Montagnes de Saint-Jean-Pied-de-Port;11760;-1.19;43.07;802.5;8;Atlantique;10;7
1419;7621;Massif du Baygoura;3297;-1.29;43.27;500;7;Atlantique;8;7
1420;7622;Domaine d'Abbadia et corniche basque;641;-1.72;43.38;35;2;Atlantique;2;5
1421;7623;Falaises de Saint-Jean-de-Luz à Biarritz;1384;-1.6;43.44;25;5;Atlantique;0;5
1422;7624;Gave de Pau;8194;-0.51;43.35;1040;130;Atlantique;4;6
1423;7625;Tourbière de Louvie-Juzon;31.22;-0.38;43.09;370;2;Atlantique;4;6
1424;7626;L'Ardanavy (cours d'eau);626;-1.35;43.47;100;10;Atlantique;3;6
1425;7627;La Joyeuse (cours d'eau);1444;-1.3;43.33;250;11;Atlantique;4;7
1426;7628;La Bidouze (cours d'eau);2570;-1.19;43.44;500;56;Atlantique;5;8
1427;7629;Le Gave d'Oloron (cours d'eau) et marais de Labastide-Villefranche;2547;-0.99;43.43;410;93;Atlantique;6;8
1428;7630;Le Gave d'Aspe et le Lourdios (cours d'eau);1595;-0.59;43.12;1360;22;Alpine;8;9
1429;7632;Mont Ceint, mont Béas, tourbière de Bernadouze;2218;1.4;42.79;1690;4;Alpine;4;3
1430;7635;Milieux alluviaux et aquatiques du fleuve Rhône, de Jons à Anthon;384;5.07;45.82;184;5;Continentale;0;0
1431;7636;Crêts du Haut-Jura;17315.8;5.92;46.2;1153;22;Continentale;0;0
1432;7637;Basse Ardèche urgonienne;6851.3;4.48;44.33;295;19;Méditerranéenne;10;10
1433;7639;Cévennes ardèchoises;1331.6;4.11;44.67;1194;16;Continentale;0;2
1434;7640;Rivière du Roubion;619.3;4.8;44.58;144;12;Méditerranéenne;5;5
1435;7641;Forêts alluviales, rivière et gorges de l'Eygues;1013.4;5.24;44.39;395;15;Méditerranéenne;2;2
1436;7642;Pelouses, fourrés et forêts de Larran, du Pied du Mulet et de la montagne de Chabre;1379.3;5.65;44.15;1032;3;Méditerranéenne;2;2
1437;7643;Pelouses et habitats rocheux des gorges de Pommerol;1510;5.45;44.43;1050;3;Méditerranéenne;2;2
1438;7644;Contamines Montjoie - Miage - Tré la Tête;5537.3;6.74;45.77;2333;1;Alpine;3;3
1439;7648;Tourbières du Luitel et leur bassin versant;306.8;5.85;45.08;1457;1;Alpine;3;3
1440;7649;Pelouses, landes et habitats rocheux des Gorges de la Loire;2496.1;4.25;45.43;525;7;Continentale;9;9
1441;7650;Rebord méridional du Massif des Bauges;1169.9;6.02;45.52;748;12;Alpine;5;4
1442;7651;Pelouses, milieux alluviaux et aquatiques de l'île de Miribel-Jonage;2849;4.98;45.8;174;14;Continentale;15;13
1443;7652;Gorges du Haut-Cher;1232;2.57;46.26;285;8;Continentale;8;8
1444;7653;Gorges de la Dordogne, de l'Auze et de la Sumène;4206;2.28;45.27;725;12;Continentale;61;61
1445;7654;Environs de Meallet;15;2.41;45.25;675;1;Continentale;3;2
1446;7655;Côteaux de Raulhac et Cros de Ronesque;285;2.65;44.87;750;2;Continentale;16;12
1447;7656;Vallées et côteaux thermophiles de la région de Maurs;119;2.19;44.64;325;2;Continentale;7;4
1448;7657;Vallées et Gîtes de la Sianne et du Bas Alagnon;6046;3.09;45.2;754.5;20;Continentale;12;11
1449;7658;Gorges de la Rhue;1018;2.65;45.36;700;6;Continentale;32;31
1450;7659;Sommets du nord Margeride;1748;3.48;45.04;1273.5;7;Continentale;11;9
1451;7660;Val d'Allier / Vieille Brioude / Langeac;2929;3.39;45.19;567;12;Continentale;5;6
1452;7661;Rivières à écrevisses à pattes blanches;28.5;2.6;45.56;769;3;Continentale;5;5
1453;7662;Site de Teissières;213;2.55;44.8;520;3;Continentale;9;8
1454;7663;Site des Grivaldes;510;2.55;44.73;445;4;Continentale;9;8
1455;7664;Site de la Coste;81;3.11;45.16;873;3;Continentale;1;1
1457;7666;Rivières à Ecrevisses à pattes blanches des Vallées du Cé et de l’Auzon;240.5;3.43;45.42;669;14;Continentale;0;3
1458;7667;Le Lez;239;3.86;43.67;50;7;Méditerranéenne;6;6
1459;7668;Massif de la Malepère;6158;2.22;43.14;297;16;Méditerranéenne;5;4
1460;7669;Massif de la Clape;8339;3.13;43.17;107;5;Méditerranéenne;20;20
1461;7670;Gorges de Trévans - Montdenier - Mourre de Chanier;8808;6.32;43.85;1345;10;Méditerranéenne;6;3
1462;7671;Lac Saint-Léger;5.25;6.33;44.42;1311;1;Alpine;1;1
1463;7673;L'Aigues (ou Eygues ou Aygues);822;4.91;44.24;120;12;Méditerranéenne;7;6
1464;7674;Mont Ventoux;3134;5.29;44.17;1357;7;Méditerranéenne;5;5
1465;7676;Agriates;29670;9.1;42.7;30;4;Méditerranéenne;3;3
1466;7677;Iles et pointe Bruzzi, étangs de Chevanu et d'Arbitru;358;9.02;41.46;67;1;Méditerranéenne;1;1
1467;7678;Campomoro-Senetosa;2106;8.8;41.58;152.5;3;Méditerranéenne;2;2
1468;7679;Baie de Stagnolu, golfu di Sognu, Golfe de Porto-Vecchio;2074;9.33;41.61;-6;3;Méditerranéenne;8;7
1469;7682;Le Petit Morin de Verdelot à Saint-Cyr-sur-Morin;3589;3.26;48.88;82;9;Atlantique;12;11
1470;7683;Etang de Saint Quentin;96;2;48.79;165;2;Atlantique;5;6
1471;7684;Marais d'Itteville et de Fontenay-le-Vicomte;522;2.39;48.55;50;6;Atlantique;8;8
1472;7686;Massif de Villefermoy;4790;2.9;48.5;115;9;Atlantique;8;8
1473;7687;Bassée et plaines adjacentes;27643;3.2;48.41;70;39;Atlantique;18;15
1474;7688;Boucles de la Marne;2641;2.72;48.91;84.5;27;Atlantique;9;6
1475;7689;Massif de Rambouillet et zones humides proches;17110;1.79;48.68;130;36;Atlantique;8;6
1476;7690;Boucles de Moisson, de Guernes et de Rosny;6033;1.61;49.01;78;18;Atlantique;8;8
1477;7691;Sites de Seine-Saint-Denis;1157;2.39;48.94;80;19;Atlantique;9;6
1478;7692;Pelouses et fruticées de la région de Joinville;382;5.14;48.38;271;9;Continentale;1;1
1479;7693;Pelouses et fruticées de la Côte oxfordienne de Bologne à Latrecey;669;4.83;47.99;319;11;Continentale;9;9
1480;7694;Pelouse des brebis à Brienne-la-vieille;40;4.52;48.36;125;1;Continentale;7;7
1481;7695;Savart du camp militaire de Moronvilliers;1511;4.31;49.21;164;4;Continentale;3;3
1482;7696;Savart du camp militaire de Mailly-le-Camp;536;4.31;48.58;161;2;Continentale;5;5
1483;7697;Pelouses de la barbarie à Savigny-sur-Ardres;105;3.8;49.25;133;1;Atlantique;7;6
1484;7698;Landes et mares de Mesnil-sur-Oger et d'Oger;102;4;48.93;237;1;Continentale;8;8
1485;7699;Landes et mares de sezanne et de vindey;97;3.69;48.7;200;2;Atlantique;7;6
1486;7700;Marais d'Athis-Cherville;42;4.14;49;75;1;Continentale;1;0
1487;7701;Prairies de Courteranges;41;4.23;48.27;113;3;Continentale;10;9
1488;7702;Vallée du Rognon, de Doulaincourt à la confluence avec la Marne;486;5.17;48.34;208;3;Continentale;3;2
1489;7703;Vallée de l'Aube, d'Auberive à Dancevoir;1154.5;4.94;47.89;300;11;Continentale;1;1
1490;7704;Vallée de l'Aujon, de Chameroy a Arc-en-Barrois;467;5.08;47.89;320;6;Continentale;0;0
1491;7705;Forêt d'Orient;6135;4.42;48.29;154;10;Continentale;13;13
1492;7706;Forêts et clairières des bas-bois;2846;4.28;48.31;119;7;Continentale;13;12
1493;7707;Camp militaire du bois d'Ajou;267;4.57;48.41;123;2;Continentale;1;0
1494;7708;Bois de Villiers-sur-Marne, Buxières-les-Froncles, Froncles et Vouécourt;650;5.15;48.3;300;3;Continentale;7;7
1495;7709;Vallées du Rognon et de la Sueurre et massif forestier de la Crête et d'Ecot la Combe;3928;5.33;48.2;328;9;Continentale;9;7
1496;7710;Forêt d'Harreville-les-Chanteurs;433;5.63;48.25;330;2;Continentale;8;6
1497;7711;Val de la Joux et la Vouette à Roches-sur-Rognon;326;5.25;48.28;287;5;Continentale;1;1
1498;7712;Bois de la Voivre à Marault;224;5.08;48.18;255;4;Continentale;0;0
1499;7713;Vallon de Senance à Courcelles-en-Montagne et Noidant-le-Rocheux;49;5.23;47.83;407;2;Continentale;1;1
1500;7714;Étangs de Bairon;105;4.76;49.53;174;2;Continentale;7;7
1501;7716;Étangs latéraux du Der;307;4.69;48.56;126;3;Continentale;2;2
1502;7717;Étangs de Belval, d'Etoges et de la Grande Rouillie;280;4.98;48.95;157;2;Continentale;0;0
1503;7718;Carrières souterraines d'Arsonval;345;4.62;48.28;205;3;Continentale;0;0
1504;7719;Carrières souterraines de Vertus;11;3.98;48.89;214;1;Continentale;0;0
1505;7720;L'Apance;23;5.77;47.93;256;9;Continentale;2;2
1506;7721;Risle, Guiel, Charentonne;4747.49;0.6;49.08;106.5;70;Atlantique;7;6
1507;7722;Baie du Mont Saint-Michel;39480;-1.64;48.67;54;28;Atlantique;13;13
1508;7723;Littoral Ouest du Cotentin de Bréhal à Pirou;3375;-1.57;49;11;9;Atlantique;15;14
1509;7724;Hêtraie de Cerisy;1018.6;-0.87;49.19;107;1;Atlantique;8;7
1510;7726;Combes de la Côte dijonnaise;2787;4.93;47.22;390;15;Continentale;12;11
1512;7729;Les habitats naturels de l’arrière côte de Beaune;3784;4.7;47.01;420;23;Continentale;10;12
1513;7731;Cavités à chauves-souris en Bourgogne;1733;4.79;47.34;331;11;Continentale;12;8
1514;7732;Milieux humides, forêts, pelouses et habitats à Chauves-souris du Morvan;13541;3.98;47.26;415;59;Continentale;10;13
1515;7733;Pelouses à orchidées et habitats à chauve-souris des vallées de l'Yonne et de la Vanne;1385;3.45;48.19;145;9;Continentale;8;7
1516;7734;Milieux humides et habitats à Chauves-souris de Puisaye-Forterre;2348;3;47.62;241;15;Atlantique;19;16
1517;7735;Gîtes et habitats à chauves-souris en Bourgogne;50409;4.61;47.43;263;75;Continentale;6;7
1518;7736;Bocage, forêts et milieux humides du bassin de la Grosne et du Clunisois;44989;4.62;46.46;357;51;Continentale;13;11
1519;7737;Forêts et étangs du Bambois;103;6.8;47.95;606;1;Continentale;5;3
1520;7738;Ruisseau et tourbière de Belbriette;19;6.98;48.07;820;1;Continentale;5;5
1521;7739;Secteur Alluvial Rhin-Ried-Bruch, Bas-Rhin;20162;7.73;48.43;165;74;Continentale;10;14
1522;7740;Massif forestier de Haguenau;3111;7.84;48.81;150;18;Continentale;16;13
1523;7741;Val de Villé et ried de la Schernetz;2046;7.36;48.34;500;18;Continentale;7;9
1524;7742;Promontoires siliceux;188;7.12;47.84;750;12;Continentale;6;5
1525;7743;Secteur Alluvial Rhin-Ried-Bruch, Haut-Rhin;4343;7.54;47.82;210;28;Continentale;7;10
1526;7747;Tourbières et lacs de Chapelle-des-Bois et de Bellefontaine les Mortes;320;6.1;46.58;1094;2;Continentale;4;2
1527;7748;Reculées de la Haute Seille;1420;5.66;46.72;381;6;Continentale;10;7
1528;7751;Vallée de l'Erve en aval de Saint-Pierre-sur-Erve;342;-0.41;47.97;75;5;Atlantique;8;7
1529;7752;Rivière Elle;4070.96;-3.46;48.01;142.5;19;Atlantique;15;11
1530;7753;Rivière Scorff, Forêt de Pont Calleck, Rivière Sarre;3351.3;-3.25;48;110;31;Atlantique;14;12
1531;7754;Cote de Granit Rose-Sept Iles;69602;-3.46;48.88;39;5;Atlantique;10;10
1532;7756;Iles de la Colombiere, de la Nelliere et des Haches;1689;-2.18;48.61;1;1;Atlantique;5;5
1533;7759;Archipel de Glenan;58790;-3.96;47.71;1;1;Atlantique;11;10
1534;7761;Rade de Brest : Baie de Daoulas, Anse de Poulmic;8065.5;-4.35;48.3;1;14;Atlantique;10;8
1535;7764;Baie de Vilaine;6851;-2.46;47.5;1;7;Atlantique;15;15
1536;7765;Golfe du Morbihan;9502;-2.88;47.58;2;13;Atlantique;17;16
1537;7766;Rivière de Pénerf;4495;-2.6;47.51;2;5;Atlantique;11;9
1538;7767;Baie de Quiberon;905;-3.15;47.53;5.5;3;Atlantique;4;4
1539;7768;Rade de Lorient;485;-3.28;47.68;5;4;Atlantique;7;7
1540;7770;Baie de Goulven;2234;-4.24;48.65;1;6;Atlantique;5;5
1541;7771;Camaret;1274;-4.62;48.25;5;1;Atlantique;5;5
1542;7772;Rivières de Pont-l'Abbé et de l'Odet;709;-4.19;47.86;5;5;Atlantique;9;9
1543;7776;Brandes de la Pierre-La;780;0.93;46.48;139.5;3;Atlantique;10;13
1544;7777;Vallée de l'Antenne;1208;-0.37;45.75;30;30;Atlantique;5;5
1545;7778;La Dordogne;5685;-0.08;44.83;43.5;104;Atlantique;5;9
1546;7779;Vallées de la Double;4520;0.27;45.16;100;27;Atlantique;2;4
1547;7780;Parc boisé du Château de Pau;18.87;-0.38;43.29;184;2;Atlantique;4;4
1548;7781;Vieux arbres de la haute vallée de l'Aveyron et des abords du Causse Comtal;1630;2.67;44.43;627;6;Continentale;6;7
1549;7782;Vallée de la Creuse;490;1.63;46.38;225;2;Continentale;10;11
1550;7783;Landes et zones humides autour du lac de Vassivière;798;1.9;45.81;665;6;Continentale;2;4
1551;7784;Vallée de la Gartempe sur l'ensemble de son cours et affluents;3560;1.25;46.12;360;50;Continentale;10;13
1552;7785;Moyenne vallée de l'Ardèche, pelouses du plateau des Gras;5408.5;4.35;44.51;217;29;Méditerranéenne;3;2
1553;7786;Sables du Tricastin;1963.8;4.83;44.4;188;8;Méditerranéenne;6;8
1554;7787;Cluse du Lac d'Annecy;282;6.22;45.79;486;3;Alpine;8;8
1555;7788;Gorges de l'Allier et affluents;16019;3.64;44.94;847;38;Continentale;10;11
1556;7789;Haute vallée du Lignon;810;4.31;45.02;1000;9;Continentale;8;9
1557;7790;"Gîtes à chauves-souris, \Contreforts et Montagne Bourbonnaise\""""";1944;3.5;46.04;375;5;Continentale;11;11
1558;7792;Plateau de l'Aubrac;25475;3.11;44.65;1182.5;15;Continentale;8;10
1559;7793;Plateau de Charpal;3410;3.57;44.64;1436;4;Continentale;2;1
1560;7885;Étang du Bagnas;675;3.52;43.31;3.5;4;Méditerranéenne;11;8
1562;7795;Collines d'Ensérune (ancien nom : Collines du Narbonnais);2253;3.16;43.27;52.5;3;Méditerranéenne;11;8
1563;7796;Vallée du Torgan;1006;2.61;42.91;463;4;Méditerranéenne;10;10
1564;7797;Aqueduc de Pézenas;349;3.38;43.46;59;2;Méditerranéenne;4;4
1565;7798;Valdonnez;5000;3.54;44.46;985;5;Continentale;8;7
1566;7799;Massif du Luberon;21319;5.38;43.8;543;28;Méditerranéenne;8;6
1567;7800;Massif de la Sainte-Baume;17307;5.75;43.34;671;12;Méditerranéenne;6;5
1568;7801;Rade d'Hyères;48867;6.39;43;-100;1;Méditerranéenne;7;6
1569;7802;Vachères;14576;5.65;43.95;649;10;Méditerranéenne;6;4
1570;7803;Suberaie de Ceccia/Porto-Vecchio;1117;9.25;41.57;30;1;Méditerranéenne;9;7
1571;7805;Sites à chiroptères de Darvault, Mocpoix et Saint-Nicolas;37.36;2.74;48.27;115;3;Atlantique;8;8
1572;7806;Coteaux calcaires du Tardenois et du Valois;301;3.53;49.26;101;8;Atlantique;5;3
1573;7807;La Vallée de l'Iton au lieu-dit Le Hom;30.58;1.11;49.12;34;1;Atlantique;2;3
1574;7808;Coteaux calcaires riches en chiroptères des environs de Montoire-sur-le-Loir;28.5;0.79;47.77;95.5;3;Atlantique;2;2
1575;7809;Val de Loire nivernais;3050;3.33;46.84;185;16;Continentale;10;8
1576;7810;Côte châlonnaise;2926;4.65;46.68;350;38;Continentale;12;9
1577;7811;Pelouses, forêts et habitats à chauve-souris du sud de la vallée de l'Yonne et de ses affluents;4841;3.76;47.58;220;27;Continentale;10;8
1578;7812;Val de Loire bocager;10253;3.86;46.5;227;34;Continentale;8;7
1579;7813;Mines du Warndt;169;6.65;49.1;297.5;7;Continentale;4;7
1580;7814;Vallées du Drugeon et du Haut-Doubs;8334;6.22;46.85;838;22;Continentale;20;19
1581;7815;Cret des Roches;60;6.77;47.37;635;2;Continentale;0;0
1582;7816;Côte de Champvermol;191;6.79;47.42;400;3;Continentale;7;4
1583;7817;Moyenne Vallée du Doubs;6301;6.13;47.28;380;30;Continentale;14;13
1584;7820;Réseau de cavités à Rhinolophes de la région de Vesoul (4 cavités);13;6.12;47.59;372;3;Continentale;5;5
1585;7821;Lac de Grand-Lieu;6292;-1.67;47.09;3.5;9;Atlantique;6;5
1586;7822;Forêt de Multonne, corniche de Pail;825;-0.15;48.45;272.5;5;Atlantique;6;4
1587;7823;Ria d'Etel;4257.9;-3.15;47.72;10;11;Atlantique;15;16
1588;7824;Vallée de la Boutonne;7145;-0.26;46.15;61;21;Atlantique;5;5
1589;7825;Brandes de Montmorillon;2779;0.95;46.4;147.5;6;Continentale;9;11
1590;7826;Vallées du Lary et du Palais;1844;-0.21;45.2;80;26;Atlantique;6;6
1591;7827;Vallon de la Sandonie;672;0.52;45.34;130;3;Atlantique;5;4
1592;7828;Coteaux calcaires du Causse de Daglan et de la Vallée du Céou;1195;1.17;44.73;150;7;Atlantique;9;8
1593;7829;Grottes d'Azerat;463;1.11;45.16;200;2;Atlantique;6;2
1594;7830;Marais du Bec d'Ambès;2618;-0.51;44.97;3.5;5;Atlantique;12;9
1595;7831;Tourbière de Mées;108;-1.1;43.71;20;2;Atlantique;7;7
1596;7832;Coteaux du ruisseau des Gascons;225;0.82;44.16;140;3;Atlantique;4;4
1597;7833;Vallon du Clamondé;271;-0.65;43.47;175.5;2;Atlantique;5;7
1598;7834;Tunnel de Saint-Amand-de-Coly;63;1.22;45.04;210;1;Atlantique;2;2
1599;7835;Vallée du Tarn (de Brousse jusqu'aux gorges);3705;2.74;44.04;455;10;Méditerranéenne;8;7
1600;7836;Causse Comtal;379;2.67;44.39;600;4;Continentale;4;6
1601;7837;Ossoue, Aspé, Cestrède;5214;-0.05;42.76;2113;1;Alpine;9;8
1602;7838;Cirque de Gavarnie;9264;-0.06;42.74;2207;1;Alpine;5;12
1603;7841;Massif du Mont Valier;15616;1.08;42.81;1764;6;Alpine;2;1
1604;7842;Puydarrieux;255;0.42;43.28;285;4;Atlantique;2;3
1605;7845;Gorges de la Dourbie et causses avoisinants;28057;3.27;44.06;840;13;Méditerranéenne;17;16
1606;7846;Gorges de la Frau et Bélesta;12356;1.89;42.83;1213.5;6;Alpine;4;4
1607;7847;Vallées du Lis, de la Pique et d'Oô;10490;0.57;42.73;1904.5;6;Alpine;8;8
1608;7848;Vallée de la Garonne de Boussens à Carbonne;1889;1.14;43.23;284;13;Atlantique;4;4
1609;7849;Forêt de Grésigne et environs;27643;1.77;44.06;308;19;Atlantique;8;8
1610;7850;Quérigut, Orlu;10255;2.03;42.67;1875;5;Alpine;13;11
1611;7852;Vallée de la Garonne de Muret à Moissac;4493;1.06;44.07;136;35;Atlantique;4;4
1612;7853;Tourbière de Négarioux Malsagne;201;2.02;45.72;795.5;1;Continentale;5;7
1613;7854;Landes et zones humides de la Haute Vézère;7707;2;45.6;827;8;Continentale;19;16
1614;7855;Landes des Monédières;244;1.84;45.46;779;2;Continentale;8;8
1615;7856;Tourbières et fonds tourbeux de Bonnefond Péret Bel Air;732;2.02;45.5;857.5;5;Continentale;5;7
1616;7857;Vallée de la Gioune;975;2.12;45.77;755;3;Continentale;15;14
1617;7858;Etangs du nord de la Haute-Vienne;172;1.2;46.31;205.5;3;Continentale;4;7
1618;7859;Haute-vallée de la Vienne;1318;1.66;45.75;502.5;15;Continentale;4;10
1619;7860;Marais des Agusas, montagnes de la Serre et d'Uzègues;7039;4.27;44.32;238;8;Méditerranéenne;10;11
1620;7861;Landes, pelouses, forêts et prairies humides de Lus-la-Croix-Haute;3637.4;5.72;44.67;1453;1;Alpine;9;7
1621;7862;Gervanne et rebord occidental du Vercors;18150;5.15;44.81;725;12;Alpine;4;3
1622;7863;Pelouses, forêts et grottes du massif de Saoû;2356;5.12;44.65;803;1;Méditerranéenne;9;8
1623;7865;Les Frettes - Massif des Glières;8069.8;6.31;45.95;1530;7;Alpine;6;4
1624;7867;Mont de Grange;1254;6.8;46.26;1618;2;Alpine;3;3
1625;7868;Cembraie, pelouses, lacs et tourbières de Belledonne, de Chamrousse au Grand Colon;2662;5.92;45.13;1977;4;Alpine;5;3
1626;7869;Landes, tourbières et habitats rocheux du Massif du Taillefer;3697;5.91;45.05;2149;5;Alpine;5;3
1627;7870;Hauts plateaux et contreforts du Vercors oriental;20953.4;5.5;44.84;1587;12;Alpine;9;8
1628;7871;Massif de l'Obiou et gorges de la Souloise;3743;5.88;44.77;1528;3;Alpine;1;0
1629;7872;Massif de la Muzelle;16896;6.06;44.92;2045;6;Alpine;1;0
1630;7873;Forêts, landes et prairies de fauche des versants du Col d'Ornon;4814;5.96;44.98;1312;7;Alpine;6;7
1631;7874;Parties sommitales du Forez et hautes chaumes;6149;3.85;45.66;1312;11;Continentale;13;10
1632;7875;Adrets de Tarentaise;983;6.69;45.59;1490;13;Alpine;3;3
1633;7876;Landes, prairies et habitats rocheux du massif du mont Thabor;4790;6.56;45.12;2527;3;Alpine;1;1
1634;7877;Formations forestières et herbacées des Alpes internes;1560.1;6.87;45.29;1655;5;Alpine;3;1
1635;7878;Massif de la Vanoise;53927.6;6.88;45.39;2654;19;Alpine;7;6
1636;7879;Sucs du Velay / Meygal;217;4.13;45.05;1318;5;Continentale;2;2
1637;7880;Gîtes de Hérisson;255;2.7;46.51;235;1;Continentale;12;8
1638;7881;Montagne de la Margeride;9400;3.43;44.84;1200;11;Continentale;5;4
1639;7882;Mare du plateau de Vendres;17.6;3.23;43.27;33.5;2;Méditerranéenne;7;9
1640;7883;Basse plaine de l'Aude;4480;3.2;43.25;5;10;Méditerranéenne;10;9
1642;7884;Les Cévennes;91425;3.68;44.26;1200;46;Méditerranéenne;2;0
1643;7886;Étangs palavasiens et étang de l'Estagnol;6600;3.87;43.51;10.5;8;Méditerranéenne;7;8
1644;7887;Montagne de la Clape;9063;3.11;43.16;110;6;Méditerranéenne;19;19
1645;7888;Gorges du Gardon;7009;4.41;43.93;130;11;Méditerranéenne;3;5
1646;7890;Basses Corbières;29495;2.75;42.85;665;40;Méditerranéenne;7;9
1647;7891;Camargue gardoise fluvio-lacustre;5716;4.31;43.61;0.5;5;Méditerranéenne;7;7
1648;7892;Le Salagou;12826;3.33;43.6;295;22;Méditerranéenne;14;10
1649;7893;Minervois;24892;2.83;43.38;332.5;25;Méditerranéenne;5;5
1650;7894;Hautes Garrigues du Montpelliérais;47365;3.71;43.78;454;37;Méditerranéenne;5;4
1651;7895;Complexe lagunaire de Salses-Leucate;7699.43;3.03;42.75;2.5;7;Méditerranéenne;15;13
1652;7896;Étang de Lapalme;3908;3.03;42.96;60.5;5;Méditerranéenne;14;14
1653;7897;Étangs du Narbonnais;12232;3.03;43.08;36.5;6;Méditerranéenne;20;18
1654;7898;Corbières orientales;25371.2;2.69;43.02;332.5;21;Méditerranéenne;7;7
1655;7899;Pays de Sault;71335;2.05;42.75;1147.5;50;Alpine;7;5
1656;7900;Piège et collines du Lauragais;31147;1.88;43.25;290.5;37;Méditerranéenne;13;9
1657;7901;Gorges de la Vis et cirque de Navacelles;20277;3.53;43.92;552.5;16;Méditerranéenne;5;4
1658;7902;Gorges de Rieutord, Fage et Cagnasse;12281;3.87;43.93;532;11;Méditerranéenne;15;12
1659;7903;Petite Camargue laguno-marine;15571;4.25;43.51;7.5;4;Méditerranéenne;7;6
1660;7904;Causse noir;6103;3.34;44.13;863.5;3;Méditerranéenne;4;3
1661;7905;Costières nîmoises;13479;4.36;43.77;42;28;Méditerranéenne;5;3
1662;7906;Étang de Capestang;1370;3.05;43.29;6;6;Méditerranéenne;12;10
1663;7908;Étang de Thau et lido de Sète à Agde;8320;3.6;43.39;2;9;Méditerranéenne;5;4
1664;7909;Montagne de l'Espinouse et du Caroux;3385;2.95;43.63;837.5;3;Continentale;2;1
1665;7910;Plaine de Villeveyrac-Montagnac;5253;3.54;43.5;100.5;5;Méditerranéenne;12;12
1666;7911;Est et sud de Béziers;6089;3.37;43.33;15;8;Méditerranéenne;4;3
1667;7913;Capcir-Carlit-Campcardos;39667;1.93;42.56;2088.5;15;Alpine;6;6
1668;7914;Corbières occidentales;22912.2;2.51;43.14;404.5;35;Méditerranéenne;12;10
1669;7915;Hautes Corbières;28333;2.41;43;572;43;Méditerranéenne;7;6
1670;7916;Puigmal-Carança;10260;2.12;42.43;1805;10;Alpine;13;11
1671;7918;Camp des Garrigues;2085;4.34;43.91;123;4;Méditerranéenne;4;2
